waktu,pertanyaan,jawaban,score
2026-05-23 01:51:07,Jadwal kuliah,jadwal kuliah dimulai sesuai kalender akademik universitas mulia biasanya dua minggu setelah pengisian krs selesai.,0.4351
2026-05-23 01:51:22,Biaya kuliah,biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan informasi rinci dapat dilihat pada situs resmi universitas mulia di bagian biaya pendidikan.,0.4602
2026-05-23 01:55:12,Kontak admin,kontak admin bisa hubungi wa 08xx,1.0
2026-05-23 01:55:34,kapan krs,Tidak ditemukan,0.3387
2026-05-23 01:55:56,kapan krs dimulai,Tidak ditemukan,0.3017
2026-05-23 02:43:10,Jadwal kuliah,jadwal kuliah dimulai sesuai kalender akademik universitas mulia biasanya dua minggu setelah pengisian krs selesai.,0.4351
2026-05-23 02:43:12,Kontak admin,kontak admin bisa hubungi wa 08xx,1.0
2026-05-23 02:43:14,Biaya kuliah,biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan informasi rinci dapat dilihat pada situs resmi universitas mulia di bagian biaya pendidikan.,0.4602
2026-05-23 02:45:29,Kontak admin,kontak admin bisa hubungi wa 08xx,1.0
2026-07-05 17:39:58,Kontak admin,kontak admin bisa hubungi wa 0855,1.0
2026-07-05 17:40:47,jose,"Pertanyaan terlalu singkat, coba lebih jelas ya.",1.0
2026-07-05 17:40:53,siapa itu joseph,king,1.0
2026-07-05 17:43:32,Jadwal kuliah,jadwal kuliah dimulai sesuai kalender akademik universitas mulia biasanya dua minggu setelah pengisian krs selesai.,0.4351
2026-07-05 19:40:31,Biaya kuliah,biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan informasi rinci dapat dilihat pada situs resmi universitas mulia di bagian biaya pendidikan.,0.4594
2026-07-05 20:04:47,Biaya kuliah,biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan informasi rinci dapat dilihat pada situs resmi universitas mulia di bagian biaya pendidikan.,0.4594
2026-07-05 20:04:48,Kontak admin,kontak admin bisa hubungi wa 0855,1.0
2026-07-05 20:38:04,Kontak admin,kontak admin bisa hubungi wa 0855,1.0
2026-07-05 20:38:56,siapa itu king,joo,1.0
